family_id	family_label	product_id	product_label	image_id	image_path
2064	Caissons d'extraction en collectif	10783	EasyVEC® C4 PRO 400 à 4000	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\PSD\U3\JPEG\EasyVEC-C4-PRO-1500_Produit_001.eps
2064	Caissons d'extraction en collectif	10799	EasyVEC® C4 ULTRA 400 à 4000	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-400-700\EasyVEC-C4-ULTRA-400_Produit_001.eps
2064	Caissons d'extraction en collectif	10799	EasyVEC® C4 ULTRA 400 à 4000	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-1000-4000\EasyVEC-C4-ULTRA-1500_Produit_001.eps
2064	Caissons d'extraction en collectif	10806	EasyVEC® C4 ULTIMATE 400 à 4000	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-400-700\EasyVEC-C4-ULTIMATE-400_Produit_001.eps
2064	Caissons d'extraction en collectif	10806	EasyVEC® C4 ULTIMATE 400 à 4000	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-1000-4000\EasyVEC-C4-ULTIMATE-2500-RAL9006_Produit_001.eps
83996	EasyVEC® Compact	2208	EasyVEC® Compact Standard	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-Compact\EasyVEC-Compact_Produit_001.eps
83996	EasyVEC® Compact	2208	EasyVEC® Compact Standard	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-Compact\EasyVEC-Compact_Produit_002.eps
83996	EasyVEC® Compact	2206	EasyVEC® Compact Micro-watt	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-Compact\EasyVEC-Compact-MWPlus_Produit_001.eps
83996	EasyVEC® Compact	2207	EasyVEC® Compact Micro-watt +	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-Compact\EasyVEC-Compact-MWPlus_Produit_001.eps
83997	EasyVEC®	2211	EasyVEC® Standard	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-STD\EasyVEC-Standard-4000_Produit_001.eps
