family_id	family_label	product_id	carac_id	carac_label	value
82947	VELONE®	2030	71	Description produit	VELONE F400 - 20.0 - Tri fait partie de la gamme de tourelles de désenfumage classées F400-120 destinées aux locaux tertiaires, industriels et aux logements collectifs.  Sa conception soignée permet d'atteindre des débits jusqu'à 27 000 m³/h, sans augmenter les dimensions de l'embase. Aldes propose sur cette gamme une solution "Tout en Un" avec un coffret de relayage directement monté d'usine.
82947	VELONE®	2030	101	Plus produit	> accessoires protégés des chocs + intempéries grâce au corps métallique, ##NewLine##> accessoires électriques câblés en usine et fixés à l’intérieur pour une protection contre les chocs et les intempéries, ##NewLine##> pressostat raccordé aérauliquement en usine.
82947	VELONE®	2031	83	Gamme	VELONE 
82947	VELONE®	2031	93	Nom du produit	VELONE® F400 - 27.0 - Tri
82947	VELONE®	2031	71	Description produit	VELONE F400 - 27.0 - Tri fait partie de la gamme de tourelles de désenfumage classées F400-120 destinées aux locaux tertiaires, industriels et aux logements collectifs.  Sa conception soignée permet d'atteindre des débits jusqu'à 27 000 m³/h, sans augmenter les dimensions de l'embase. Aldes propose sur cette gamme une solution "Tout en Un" avec un coffret de relayage directement monté d'usine.
82947	VELONE®	2031	101	Plus produit	> accessoires protégés des chocs + intempéries grâce au corps métallique, ##NewLine##> accessoires électriques câblés en usine et fixés à l’intérieur pour une protection contre les chocs et les intempéries, ##NewLine##> pressostat raccordé aérauliquement en usine.
82948	VARILONE®	9193	83	Gamme	VARILONE
82948	VARILONE®	9193	93	Nom du produit	Variateur de fréquence VARILONE® VF
82948	VARILONE®	9193	71	Description produit	Pilotage de ventilateur double usage désenfumage/ventilation pour cuisines
82948	VARILONE®	9193	101	Plus produit	> utilisation simple avec potentiomètre déporté
82949	HELIONE	2243	83	Gamme	HELIONE
82949	HELIONE	2243	93	Nom du produit	HELIONE Non Classé F200-F400
82949	HELIONE	2243	71	Description produit	La gamme HELIONE standard varie du Ø 355 au Ø 1250 mm et permet d'atteindre des débits allant de 1 500 à 200 000 m³/h. HELIONE est utilisé en ventilation et/ou en désenfumage dans des locaux d'habitat (parkings, escaliers), dans des locaux tertiaires (parkings, magasins) et dans des batiments industriels. Il permet l'extraction / le soufflage d’air neuf en désenfumage ponctuel ou dans les endroits où les exigences acoustiques ne sont pas prédominantes. HELIONE bénéficie de nombreux accessoires facilitant sa mise en œuvre.
82949	HELIONE	2243	101	Plus produit	> gamme jusqu'à 128000 m³/h, ##NewLine##> large gamme pour parking, locaux tertiaires et industrie, ##NewLine##> nombreux accessoires pour faciliter la mise en œuvre.
2063	Coffrets de relayage	2110	83	Gamme	Axone Micro II 
2063	Coffrets de relayage	2110	93	Nom du produit	AXONE Micro II 1V/DES : 1 Vitesse désenfumage
2063	Coffrets de relayage	2110	71	Description produit	AXONE Micro II 1V/DES est un coffret de relayage certifié NF permettant de piloter le ventilateur de désenfumage dans les locaux tertiaires et industriels. Relié au CMSI entre le TGBT et le ventilateur, il gère des éventuels défauts avec un affichage en face avant, actionne le ventilateur sur ordre du CMSI, arrête le ventilateur et le positionne en mode attente.##NewLine##L'AXONE Micro II 1V/DES correspond à une seule vitesse de désenfumage possible. 
2063	Coffrets de relayage	2110	101	Plus produit	> version avec interrupteur et pressostat intégrés : idéal pour coffret installé à moins de 2 m du ventilateur, ##NewLine##> câblage facilité, ##NewLine##> cadran d'aide au diagnostic. 
2063	Coffrets de relayage	2111	83	Gamme	Axone Micro II 
2063	Coffrets de relayage	2111	93	Nom du produit	AXONE Micro II 1V/DES - D.PROG : 1 Vitesse désenfumage, démarrage progressif
2063	Coffrets de relayage	2111	71	Description produit	AXONE Micro II 1V/DES - D.PROG est un coffret de relayage certifié NF permettant de piloter le ventilateur de désenfumage dans les locaux tertiaires et industriels. Relié au CMSI entre le TGBT et le ventilateur, il gère des éventuels défauts avec un affichage en face avant, actionne le ventilateur sur ordre du CMSI, arrête le ventilateur et le positionne en mode attente.##NewLine##L'AXONE Micro II 1V/D.PROG correspond à une seule vitesse de désenfumage possible avec démarrage progessif.
2063	Coffrets de relayage	2111	101	Plus produit	> gain de puissance de l'AES, ##NewLine##> Id/In < 3, ##NewLine##> économique à l'installation. 
2063	Coffrets de relayage	2112	83	Gamme	Axone Micro II 
2063	Coffrets de relayage	2112	93	Nom du produit	AXONE Micro II 2V/CONF : 2 Vitesses "Confort + désenfumage
2063	Coffrets de relayage	2112	71	Description produit	AXONE Micro II 2V/CONF est un coffret de relayage certifié NF permettant de piloter le ventilateur de désenfumage pour les locaux tertiaires et industriels. Relié au CMSI entre le TGBT et le ventilateur, il gère des éventuels défauts avec un affichage en face avant, actionne le ventilateur sur ordre du CMSI, arrête le ventilateur et le positionne en mode attente.##NewLine##L'AXONE Micro II 2V/CONF correspond à 1 vitessse de désenfumage possible (GV) avec gestion confort PV et GV.
2063	Coffrets de relayage	2112	101	Plus produit	> version avec interrupteur et pressostat intégrés : idéale pour coffret installé à moins de 2 m du ventilateur, ##NewLine##> câblage facilité, ##NewLine##> aide au diagnostic. 
2063	Coffrets de relayage	2113	83	Gamme	Axone Micro II 
2063	Coffrets de relayage	2113	93	Nom du produit	AXONE Micro II 2V/DES : 2 Vitesses désenfumage
2063	Coffrets de relayage	2113	71	Description produit	AXONE Micro II 2V/DES est un coffret de relayage précâblé et certifié NF permettant de piloter des ventilateurs de désenfumage pour les locaux tertiaires et industriels. Relié au CMSI entre le TGBT et le ventilateur, il gère des éventuels défauts avec un affichage en face avant, actionne le ventilateur sur ordre du CMSI, arrête le ventilateur et le positionne en mode attente.##NewLine##L'AXONE Micro II 2V/DES correspond à deux vitessses de désenfumage possibles.
2063	Coffrets de relayage	2113	101	Plus produit	> version avec interrupteur et pressostat intégrés : idéal pour coffret installé à moins de 2 m du ventilateur, ##NewLine##> câblage facilité, ##NewLine##> cadran d'aide au diagnostic. 
7499	Volets OPTONE®	2313	83	Gamme	OPTONE 
7499	Volets OPTONE®	2313	93	Nom du produit	OPTONE® "+Grille" 1V
7499	Volets OPTONE®	2313	71	Description produit	Les volets de désenfumages OPTONE "+Grille" 1 vantail sont destinés aux bâtiments tertiaires (ERP, IGH) et peuvent être utilisés en amenée d'air comme en extraction de fumées. Ils sont motorisables. Les volets OPTONE "+Grille" 1V incluent une grille ce qui permet d'économiser la phase d'installation de la grille séparée. Le déclencheur électromagnétique est inclus et disponible en émission/rupture et 24/48 V.
7499	Volets OPTONE®	2313	101	Plus produit	> simplicité : Cotes nominales = cotes d’encastrement, ##NewLine##> contre-cadre réversible haut/bas, ##NewLine##> 1 seul contre-cadre pour tous les modèles OPTONE. ##NewLine##
7499	Volets OPTONE®	2314	83	Gamme	OPTONE 
7499	Volets OPTONE®	2314	93	Nom du produit	OPTONE® "+Grille" 2V
