Famille-ID	Product-ID	Reference-ID	Image-ID	Image-Path
161781	189942	193076	267321	#N/A
161781	189943	193078	267321	#N/A
161781	189944	193079	267321	#N/A
161781	189945	193080	267321	#N/A
161781	189946	193081	267321	#N/A
161782	163398	164385	267321	#N/A
161782	163445	164386	267321	#N/A
161782	163446	164388	267321	#N/A
161782	189947	191996	267321	#N/A
161782	189948	191997	267321	#N/A
161782	189949	192031	267321	#N/A
161782	189950	192032	267321	#N/A
161782	189951	192033	267321	#N/A
161782	189952	192034	267321	#N/A
161782	189953	192041	267321	#N/A
161782	189955	192426	267321	#N/A
161783	163447	164179	267321	#N/A
161783	163448	164382	267321	#N/A
161783	163449	164383	267321	#N/A
161783	189956	192026	267321	#N/A
161783	189957	192030	267321	#N/A
161783	189958	192038	267321	#N/A
161783	189959	192039	267321	#N/A
161783	189960	192040	267321	#N/A
161783	189961	192371	267321	#N/A
161849	163716	164852	267321	#N/A
161849	189926	191976	267321	#N/A
161849	190377	193371	267321	#N/A
161791	189962	193758	267321	#N/A
161793	185101	185547	267321	#N/A
161793	249485	249514	267321	#N/A
161794	189963	193554	267321	#N/A
161795	185102	185433	267321	#N/A
161795	185103	185541	267321	#N/A
161795	185104	185542	267321	#N/A
161795	185105	185543	267321	#N/A
161795	185106	185544	267321	#N/A
161795	185107	185545	267321	#N/A
161795	185108	185546	267321	#N/A
161795	189964	193750	267321	#N/A
161795	189965	193751	267321	#N/A
161795	189966	193752	267321	#N/A
161795	189967	193753	267321	#N/A
161795	189968	193756	267321	#N/A
161795	189969	193757	267321	#N/A
161795	189970	193759	267321	#N/A
161795	189971	193760	267321	#N/A
161795	189972	193761	267321	#N/A
161795	249486	249513	267321	#N/A
161797	189973	192995	267321	#N/A
161798	189974	191952	267321	#N/A
161798	189975	192687	267321	#N/A
161798	189976	193703	267321	#N/A
161798	189977	193754	267321	#N/A
161798	189978	193755	267321	#N/A
161798	189979	193762	267321	#N/A
161798	248159	248249	267321	#N/A
161800	163450	164170	266870	Articles\Image\07640178430228_PIECE_01.jpg
161800	163451	164192	267321	#N/A
161800	163452	164193	267321	#N/A
161800	163453	164194	267321	#N/A
161800	163454	164195	267321	#N/A
161800	163455	164196	267321	#N/A
161800	163456	164213	267321	#N/A
161800	163457	164214	267062	Articles\Image\30382903006008_BOITE_01.jpg
161800	163458	164216	267065	Articles\Image\30382903007005_BOITE_01.jpg
161800	163459	164218	267068	Articles\Image\30382903009009_BOITE_01.jpg
161800	163460	164220	267321	#N/A
161800	163461	164221	267321	#N/A
161800	163462	164222	267321	#N/A
161800	163463	164223	267321	#N/A
161800	163464	164224	267321	#N/A
161800	163465	164242	267321	#N/A
161800	163466	164243	267321	#N/A
161800	163467	164244	267321	#N/A
161800	163468	164245	267321	#N/A
161800	185109	185345	267321	#N/A
161800	185110	185417	267321	#N/A
161800	189980	191982	267321	#N/A
161800	189981	191988	267321	#N/A
161800	189982	192045	267321	#N/A
161800	189983	192048	267321	#N/A
161800	189985	192063	267321	#N/A
161800	189986	192064	267321	#N/A
161800	189987	192065	267321	#N/A
161800	189988	192068	267321	#N/A
161800	248161	248244	267251	Articles\Image\CHUV_133619_01.jpg
